hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
15, 1800.00000, -0.253634, -0.743397, -0.790127, -2.31538, -0.395375, -1.15861
15, 2700.00000, -0.307002, -0.723114, -0.958723, -2.2573, -0.47904, -1.12791
16, 0.00000, -0.356852, -0.704889, -1.11683, -2.20502, -0.557382, -1.10049
16, 900.00000, -0.377476, -0.756338, -1.1741, -2.35255, -0.588019, -1.17824
16, 1800.00000, -0.43808, -0.732852, -1.3669, -2.28539, -0.683472, -1.14282
16, 2700.00000, -0.4936, -0.711081, -1.54416, -2.22303, -0.771017, -1.11008
17, 0.00000, -0.537772, -0.699115, -1.68439, -2.18989, -0.841016, -1.09348
17, 900.00000, -0.577516, -0.756979, -1.79744, -2.35604, -0.901678, -1.18193
17, 1800.00000, -0.648441, -0.736654, -2.0238, -2.2993, -1.01482, -1.15304
17, 2700.00000, -0.707139, -0.720146, -2.21205, -2.25292, -1.1089, -1.12947
18, 0.00000, -0.732265, -0.714612, -2.29265, -2.23742, -1.14946, -1.1218
18, 900.00000, -0.735205, -0.795998, -2.27995, -2.46817, -1.1498, -1.24461
18, 1800.00000, -0.737852, -0.801168, -2.28675, -2.48324, -1.15414, -1.25327
18, 2700.00000, -0.740087, -0.805832, -2.29274, -2.49662, -1.158, -1.26096
19, 0.00000, -0.7428, -0.811415, -2.29992, -2.51262, -1.16264, -1.27015
19, 900.00000, -0.753459, -0.731552, -2.3564, -2.28794, -1.18554, -1.15104
19, 1800.00000, -0.7567, -0.735865, -2.3655, -2.30077, -1.19111, -1.15844
19, 2700.00000, -0.75926, -0.73988, -2.37284, -2.31261, -1.19565, -1.16525
20, 0.00000, -0.763505, -0.746101, -2.38479, -2.33097, -1.20305, -1.17584
20, 900.00000, -0.77043, -0.675778, -2.42705, -2.129, -1.21892, -1.06911
20, 1800.00000, -0.775853, -0.681084, -2.44291, -2.14532, -1.22841, -1.07862
20, 2700.00000, -0.781017, -0.687253, -2.45827, -2.16396, -1.23769, -1.0894
21, 0.00000, -0.783789, -0.691056, -2.46671, -2.17532, -1.24282, -1.09596
21, 900.00000, -0.78073, -0.620391, -2.47589, -1.96757, -1.24018, -0.985238
21, 1800.00000, -0.780399, -0.620705, -2.47504, -1.96864, -1.2396, -0.985997
21, 2700.00000, -0.780403, -0.620714, -2.47509, -1.96862, -1.23964, -0.985976
22, 0.00000, -0.782429, -0.621997, -2.48118, -1.97275, -1.24322, -0.988385
22, 900.00000, -0.781868, -0.566062, -2.49434, -1.80587, -1.24445, -0.90097
22, 1800.00000, -0.78882, -0.571096, -2.51639, -1.82183, -1.25721, -0.910202
22, 2700.00000, -0.796537, -0.576682, -2.54084, -1.83953, -1.27141, -0.920476
23, 0.00000, -0.804396, -0.58237, -2.56572, -1.85753, -1.28591, -0.930968
23, 900.00000, -0.816476, -0.591118, -2.60389, -1.88518, -1.30828, -0.947173
23, 1800.00000, -0.828192, -0.599599, -2.64085, -1.91193, -1.33008, -0.962954
23, 2700.00000, -0.840944, -0.60883, -2.681, -1.94098, -1.35393, -0.980206
24, 0.00000, -0.853327, -0.617793, -2.71991, -1.96913, -1.37719, -0.997039
