hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
18, 0.00000, 511.462, 506.103, 816.559, 747.761, 342.976, 862.312
18, 900.00000, 487.544, 494.422, 769.211, 717.476, 327.809, 821.615
18, 1800.00000, 485.702, 492.521, 765.942, 713.031, 327.836, 817.4
18, 2700.00000, 484.155, 490.926, 763.184, 709.315, 327.84, 813.86
19, 0.00000, 482.284, 489.002, 759.841, 704.844, 327.826, 809.585
19, 900.00000, 503.907, 497.738, 803.107, 727.626, 344.213, 843.866
19, 1800.00000, 502.191, 495.845, 800.023, 723.113, 344.437, 839.685
19, 2700.00000, 500.749, 494.259, 797.43, 719.34, 344.611, 836.181
20, 0.00000, 498.421, 491.704, 793.232, 713.284, 344.862, 830.533
20, 900.00000, 517.974, 499.546, 833.337, 734.264, 359.799, 862.483
20, 1800.00000, 555.578, 518.306, 911.656, 786.412, 382.083, 931.917
20, 2700.00000, 553.545, 515.642, 908.108, 779.564, 383.321, 926.171
21, 0.00000, 552.406, 514.151, 906.113, 775.744, 383.999, 922.954
21, 900.00000, 552.406, 514.151, 906.115, 775.745, 383.998, 922.956
21, 1800.00000, 552.405, 514.151, 906.115, 775.745, 383.998, 922.956
21, 2700.00000, 552.405, 514.151, 906.115, 775.745, 383.998, 922.956
22, 0.00000, 551.719, 513.253, 904.905, 773.446, 384.402, 921.013
22, 900.00000, 548.951, 509.633, 899.999, 764.204, 385.989, 913.17
22, 1800.00000, 546.377, 506.275, 895.402, 755.671, 387.405, 905.88
22, 2700.00000, 543.531, 502.567, 890.272, 746.292, 388.906, 897.81
23, 0.00000, 540.643, 498.811, 885.019, 736.84, 390.358, 889.616
23, 900.00000, 536.232, 493.086, 876.904, 722.525, 392.44, 877.09
23, 1800.00000, 531.975, 487.572, 868.973, 708.855, 394.291, 864.995
23, 2700.00000, 527.367, 481.618, 860.282, 694.221, 396.122, 851.9
24, 0.00000, 522.918, 475.881, 851.787, 680.25, 397.718, 839.253
