hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 900.00000, 3.25468, 0.949805, 6.97755, 2.03571, 5.25806, 1.5348
0, 1800.00000, 3.25657, 0.950347, 6.93243, 2.02253, 5.24282, 1.53033
0, 2700.00000, 3.25764, 0.95065, 6.882, 2.00781, 5.22545, 1.52524
1, 0.00000, 3.25834, 0.950848, 6.8337, 1.9937, 5.20821, 1.52019
1, 900.00000, 3.25879, 0.950971, 6.77942, 1.97785, 5.18816, 1.51432
1, 1800.00000, 3.25886, 0.950992, 6.758, 1.9716, 5.18005, 1.51195
1, 2700.00000, 3.25888, 0.950997, 6.74063, 1.96652, 5.17341, 1.51
2, 0.00000, 3.25886, 0.950991, 6.72305, 1.96139, 5.16661, 1.50801
2, 900.00000, 3.25881, 0.950974, 6.70527, 1.9562, 5.15967, 1.50598
2, 1800.00000, 3.25867, 0.950927, 6.67822, 1.9483, 5.14898, 1.50285
2, 2700.00000, 3.25843, 0.950854, 6.65069, 1.94027, 5.13794, 1.49962
3, 0.00000, 3.2581, 0.950754, 6.62269, 1.9321, 5.12654, 1.49628
3, 900.00000, 3.25767, 0.950626, 6.59421, 1.92378, 5.11478, 1.49284
3, 1800.00000, 3.25742, 0.950551, 6.57979, 1.91958, 5.10877, 1.49106
3, 2700.00000, 3.25733, 0.950525, 6.57495, 1.91816, 5.10674, 1.49048
4, 0.00000, 3.25724, 0.950497, 6.5701, 1.91674, 5.1047, 1.48989
4, 900.00000, 3.25724, 0.950498, 6.5701, 1.91674, 5.1047, 1.4899
4, 1800.00000, 3.25742, 0.950553, 6.57978, 1.91956, 5.10876, 1.4911
4, 2700.00000, 3.25782, 0.950674, 6.60376, 1.92657, 5.11874, 1.49401
5, 0.00000, 3.25822, 0.950793, 6.63208, 1.93484, 5.13037, 1.49741
5, 900.00000, 3.25847, 0.95087, 6.65532, 1.94162, 5.1398, 1.50017
