hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
17, 2700.00000, -INF, -INF, -INF, -INF, -INF, -INF
18, 0.00000, -INF, -INF, -INF, -INF, -INF, -INF
18, 900.00000, -1.08902E034, -3.1649E034, -1.50262E034, -4.54392E034, -1.68214E034, -5.14455E034
18, 1800.00000, -6.03929E025, -1.75513E026, -8.33293E025, -2.51987E026, -9.32848E025, -2.85296E026
18, 2700.00000, -1.25665E017, -3.65206E017, -1.73392E017, -5.24336E017, -1.94108E017, -5.93644E017
19, 0.00000, -8.70216E007, -3.00604E008, -1.52768E008, -4.43722E008, -1.66852E008, -4.67346E008
19, 900.00000, 567.549, 121.947, 202.197, 181.699, 390.897, 742.355
19, 1800.00000, 396.643, 332.543, 578.532, 369.948, 370.075, 502.12
19, 2700.00000, 402.597, 339.724, 591.519, 382.513, 373.422, 517.275
20, 0.00000, 407.957, 346.179, 603.226, 394.066, 376.24, 531.046
20, 900.00000, 413.597, 352.99, 615.612, 406.533, 378.999, 545.746
20, 1800.00000, 418.663, 359.118, 626.777, 417.994, 381.288, 559.113
20, 2700.00000, 424.004, 365.591, 638.59, 430.355, 383.503, 573.375
21, 0.00000, 428.796, 371.416, 649.233, 441.722, 385.297, 586.348
21, 900.00000, 433.875, 377.577, 660.498, 453.964, 387.025, 600.174
21, 1800.00000, 438.452, 383.129, 670.653, 465.207, 388.413, 612.736
21, 2700.00000, 443.292, 389.003, 681.394, 477.322, 389.697, 626.133
22, 0.00000, 447.659, 394.3, 691.077, 488.444, 390.695, 638.303
22, 900.00000, 452.284, 399.909, 701.318, 500.425, 391.579, 651.278
22, 1800.00000, 456.462, 404.972, 710.55, 511.419, 392.226, 663.063
22, 2700.00000, 460.893, 410.337, 720.315, 523.258, 392.75, 675.626
23, 0.00000, 464.899, 415.184, 729.116, 534.119, 393.081, 687.035
23, 900.00000, 469.153, 420.325, 738.427, 545.81, 393.281, 699.195
23, 1800.00000, 473.004, 424.973, 746.818, 556.531, 393.327, 710.237
23, 2700.00000, 477.096, 429.907, 755.695, 568.069, 393.235, 722.005
24, 0.00000, 480.803, 434.372, 763.695, 578.646, 393.025, 732.691
