"Time stamp","System power generated | (kW)"
"371",57761.2
"372",37463.5
"373",41247.7
"374",38776
"375",34563.8
"376",53995.3
"377",41100.6
"378",3486.3
"379",-12.2538
"380",-12.2538
"381",-12.2538
"382",-12.2538
"383",-12.2538
"384",-12.2538
"385",-12.2538
"386",-12.2538
"387",-12.2538
"388",-12.2538
"389",-12.2538
"390",-12.2538
"391",-12.2538
"392",-12.2538
"393",42401.8
"394",57710.6
"395",59721.2
"396",54604.3
"397",51671.9
"398",53090.7
"399",55700.1
"400",55608.2
"401",44033.7
"402",4900.73
"403",-12.2538
"404",-12.2538
"405",-12.2538
"406",-12.2538
"407",-12.2538
"408",-12.2538
"409",-12.2538
"410",-12.2538
"411",-12.2538
"412",-12.2538
"413",-12.2538
"414",-12.2538
"415",-12.2538
"416",-12.2538
"417",43268.3
"418",58027.5
"419",59368.2
"420",53973
"421",51189.7
"422",52523.8
"423",56286.1
"424",55844.5
"425",45332.6
"426",6321.52
"427",-12.2538
"428",-12.2538
"429",-12.2538
"430",-12.2538
"431",-12.2538
"432",-12.2538
"433",-12.2538
"434",-12.2538
"435",-12.2538
"436",-12.2538
"437",-12.2538
"438",-12.2538
"439",-12.2538
"440",-12.2538
"441",41678.2
"442",57465.8
"443",59149.8
"444",54220.8
"445",51082.7
"446",51989
"447",55920.9
"448",56632.9
"449",47861.6
"450",10629.7
"451",-12.2538
"452",-12.2538
"453",-12.2538
"454",-12.2538
"455",-12.2538
"456",-12.2538
"457",-12.2538
"458",-12.2538
"459",-12.2538
"460",-12.2538
"461",-12.2538
"462",-12.2538
"463",-12.2538
"464",-12.2538
"465",43636.8
"466",58395.6
"467",59542.9
"468",54217.5
"469",51464.9
"470",52852.6
"471",57228.6
"472",57083.7
"473",47036
"474",11133.5
"475",-12.2538
"476",-12.2538
"477",-12.2538
"478",-12.2538
"479",-12.2538
"480",-12.2538
"481",-12.2538
"482",-12.2538
"483",-12.2538
"484",-12.2538
"485",-12.2538
"486",-12.2538
"487",-12.2538
"488",-12.2538
"489",7984.42
"490",18654.1
"491",29298.5
"492",17414.1
"493",18352
"494",14507.1
"495",41637
"496",55424
"497",40885.5
"498",687.09
"499",-12.2538
"500",-12.2538
"501",-12.2538
"502",-12.2538
"503",-12.2538
"504",-12.2538
"505",-12.2538
"506",-12.2538
"507",-12.2538
"508",-12.2538
"509",-12.2538
"510",-12.2538
"511",-12.2538
"512",-12.2538
"513",46490.9
"514",33868.7
"515",38273.2
"516",33789.9
"517",41605
"518",34233.3
"519",30578.2
"520",11645.3
"521",18436.3
"522",281.533
"523",-12.2538
"524",-12.2538
"525",-12.2538
"526",-12.2538
"527",-12.2538
"528",-12.2538
"529",-12.2538
"530",-12.2538
"531",-12.2538
"532",-12.2538
"533",-12.2538
"534",-12.2538
"535",-12.2538
"536",-12.2538
"537",18171.3
"538",58986.6
"539",39286.9
"540",26901.5
"541",29390.2
"542",31224.3
"543",38563
"544",9394.2
"545",5325.77
"546",285.994
"547",-12.2538
"548",-12.2538
"549",-12.2538
"550",-12.2538
"551",-12.2538
"552",-12.2538
"553",-12.2538
"554",-12.2538
"555",-12.2538
"556",-12.2538
"557",-12.2538
"558",-12.2538
"559",-12.2538
"560",-12.2538
"561",45471
"562",61294.9
"563",63746.5
"564",58884.8
"565",56161
"566",57679.1
"567",61416.8
"568",61877.6
"569",51473.8
"570",13836
"571",-12.2538
"572",-12.2538
"573",-12.2538
"574",-12.2538
"575",-12.2538
"576",-12.2538
"577",-12.2538
"578",-12.2538
"579",-12.2538
"580",-12.2538
"581",-12.2538
"582",-12.2538
"583",-12.2538
"584",-12.2538
"585",49285.4
"586",63570.5
"587",65192.3
"588",60211.3
"589",57265.2
"590",58554.4
"591",62182
"592",63091.9
"593",52978.7
"594",16250.3
"595",-12.2538
"596",-12.2538
"597",-12.2538
"598",-12.2538
"599",-12.2538
"600",-12.2538
"601",-12.2538
"602",-12.2538
"603",-12.2538
"604",-12.2538
"605",-12.2538
"606",-12.2538
"607",-12.2538
"608",-12.2538
"609",46716.4
"610",61079.9
"611",61428.6
"612",56191.9
"613",53489.1
"614",54665.6
"615",58381.3
"616",59299.5
"617",50584
"618",14557.7
"619",-12.2538
"620",-12.2538
"621",-12.2538
"622",-12.2538
"623",-12.2538
"624",-12.2538
"625",-12.2538
"626",-12.2538
"627",-12.2538
"628",-12.2538
"629",-12.2538
"630",-12.2538
"631",-12.2538
"632",-12.2538
"633",9027.8
"634",39571
"635",32536.4
"636",34921.7
"637",27641
"638",34369.5
"639",39566.5
"640",29275.7
"641",7433.41
"642",322.494
"643",-12.2538
"644",-12.2538
"645",-12.2538
"646",-12.2538
"647",-12.2538
"648",-12.2538
"649",-12.2538
"650",-12.2538
"651",-12.2538
"652",-12.2538
"653",-12.2538
"654",-12.2538
"655",-12.2538
"656",-12.2538
"657",49429.1
"658",64313.7
"659",65046.4
"660",60113.8
"661",57288.7
"662",58571.9
"663",62229.6
"664",63071.9
"665",54039.7
"666",19543.3
"667",-12.2538
"668",-12.2538
"669",-12.2538
"670",-12.2538
"671",-12.2538
"672",-12.2538
"673",-12.2538
"674",-12.2538
"675",-12.2538
"676",-12.2538
"677",-12.2538
"678",-12.2538
"679",-12.2538
"680",-12.2538
"681",48768.4
"682",63755.2
"683",64193.1
"684",59370.3
"685",56716.5
"686",57840.2
"687",61068.8
"688",61461.7
"689",53019.8
"690",19467.3
"691",-12.2538
"692",-12.2538
"693",-12.2538
"694",-12.2538
"695",-12.2538
"696",-12.2538
"697",-12.2538
"698",-12.2538
"699",-12.2538
"700",-12.2538
"701",-12.2538
"702",-12.2538
"703",-12.2538
"704",-12.2538
"705",48457.5
"706",62047.3
"707",61517.4
"708",57694.4
"709",54914.8
"710",55433.9
"711",59225.5
"712",61576.5
"713",53128.2
"714",20982.4
"715",-12.2538
"716",-12.2538
"717",-12.2538
"718",-12.2538
"719",-12.2538
"720",-12.2538
"721",-12.2538
"722",-12.2538
"723",-12.2538
"724",-12.2538
"725",-12.2538
"726",-12.2538
"727",-12.2538
"728",-12.2538
"729",5091.1
"730",59483.6
"731",24124.4
"732",58188.6
"733",55150.8
"734",56470.3
"735",60144.3
"736",60861.6
"737",51929.8
"738",11368.2
"739",-12.2538
"740",-12.2538
"741",-12.2538
"742",-12.2538
"743",-12.2538
"744",-12.2538
"745",-12.2538
"746",-12.2538
"747",-12.2538
"748",-12.2538
"749",-12.2538
"750",-12.2538
"751",-12.2538
"752",-12.2538
"753",55848.3
"754",68833.8
"755",69632.7
"756",64301.2
"757",61186
"758",62078.7
"759",65766.9
"760",66800
"761",58731.5
"762",28388.1
"763",-12.2538
"764",-12.2538
"765",-12.2538
"766",-12.2538
"767",-12.2538
"768",-12.2538
"769",-12.2538
"770",-12.2538
"771",-12.2538
"772",-12.2538
"773",-12.2538
"774",-12.2538
"775",-12.2538
"776",-12.2538
"777",51224.4
"778",65087.2
"779",65481.2
"780",60393.4
"781",57759.7
"782",58919.1
"783",62438.8
"784",63518.1
"785",54684.2
"786",26505.8
"787",-12.2538
"788",-12.2538
"789",-12.2538
"790",-12.2538
"791",-12.2538
"792",-12.2538
"793",-12.2538
"794",-12.2538
"795",-12.2538
"796",-12.2538
"797",-12.2538
"798",-12.2538
"799",-12.2538
"800",-12.2538
"801",51218.4
"802",64534
"803",64846
"804",48465.4
"805",57628.5
"806",58584
"807",61719.9
"808",47100.5
"809",44234.5
"810",28557
"811",-12.2538
"812",-12.2538
"813",-12.2538
"814",-12.2538
"815",-12.2538
"816",-12.2538
"817",-12.2538
"818",-12.2538
"819",-12.2538
"820",-12.2538
"821",-12.2538
"822",-12.2538
"823",-12.2538
"824",-12.2538
"825",52498.3
"826",64526.1
"827",64574.4
"828",59694.6
"829",56892.1
"830",57658
"831",60987.4
"832",61939.6
"833",55164.5
"834",31391.6
"835",-12.2538
"836",-12.2538
"837",-12.2538
"838",-12.2538
"839",-12.2538
"840",-12.2538
"841",-12.2538
"842",-12.2538
"843",-12.2538
"844",-12.2538
"845",-12.2538
"846",-12.2538
"847",-12.2538
"848",-12.2538
"849",52013.6
"850",62845.2
"851",63282.7
"852",58943.3
"853",56608
"854",57786.4
"855",61001.5
"856",61955.3
"857",55981.6
"858",31435.6
"859",-12.2538
"860",-12.2538
"861",-12.2538
"862",-12.2538
"863",-12.2538
"864",-12.2538
"865",-12.2538
"866",-12.2538
"867",-12.2538
"868",-12.2538
"869",-12.2538
"870",-12.2538
"871",-12.2538
"872",122.604
"873",50504.3
"874",63505.5
"875",45858.7
"876",60304.3
"877",57889.2
"878",51194.6
"879",62070.4
"880",53623
"881",41019.9
"882",17332.3
"883",-12.2538
"884",-12.2538
"885",-12.2538
"886",-12.2538
"887",-12.2538
"888",-12.2538
"889",-12.2538
"890",-12.2538
"891",-12.2538
"892",-12.2538
"893",-12.2538
"894",-12.2538
"895",-12.2538
"896",2016.87
"897",47377.5
"898",62925
"899",65284.3
"900",62119.5
"901",59238.9
"902",59939.9
"903",63335.4
"904",63836.7
"905",52874.7
"906",23356.5
"907",-12.2538
"908",-12.2538
"909",-12.2538
"910",-12.2538
"911",-12.2538
"912",-12.2538
"913",-12.2538
"914",-12.2538
"915",-12.2538
"916",-12.2538
"917",-12.2538
"918",-12.2538
"919",-12.2538
"920",80.3453
"921",31235.3
"922",37846.1
"923",38233.4
"924",65742.4
"925",63032.4
"926",49697.8
"927",52347.5
"928",67390.1
"929",57457.6
"930",30876
"931",-12.2538
"932",-12.2538
"933",-12.2538
"934",-12.2538
"935",-12.2538
"936",-12.2538
"937",-12.2538
"938",-12.2538
"939",-12.2538
"940",-12.2538
"941",-12.2538
"942",-12.2538
"943",-12.2538
"944",6192.01
"945",52642.2
"946",67223.5
"947",69613.4
"948",65787.8
"949",63172.5
"950",64186.9
"951",67923.6
"952",69928.1
"953",61903
"954",35579.6
"955",-12.2538
"956",-12.2538
"957",-12.2538
"958",-12.2538
"959",-12.2538
"960",-12.2538
"961",-12.2538
"962",-12.2538
"963",-12.2538
"964",-12.2538
"965",-12.2538
"966",-12.2538
"967",-12.2538
"968",668.907
"969",54675
"970",66783
"971",66972.2
"972",54051.7
"973",54260.7
"974",60547.5
"975",47278.6
"976",64509.6
"977",56490.8
"978",25639
"979",-12.2538
"980",-12.2538
"981",-12.2538
"982",-12.2538
"983",-12.2538
"984",-12.2538
"985",-12.2538
"986",-12.2538
"987",-12.2538
"988",-12.2538
"989",-12.2538
"990",-12.2538
"991",-12.2538
"992",8391.47
"993",53145
"994",66492.3
"995",66633.9
"996",62229.3
"997",59804.4
"998",61058
"999",64546.2
"1000",67464.4
"1001",60864.8
"1002",36484.7
"1003",-12.2538
"1004",-12.2538
"1005",-12.2538
"1006",-12.2538
"1007",-12.2538
"1008",-12.2538
"1009",-12.2538
"1010",-12.2538
"1011",-12.2538
"1012",-12.2538
"1013",-12.2538
"1014",-12.2538
"1015",-12.2538
"1016",10830.1
"1017",54663.4
"1018",66670.2
"1019",68062.8
"1020",65186
"1021",62921.9
"1022",64047.6
"1023",67386.9
"1024",68935.6
"1025",62020.8
"1026",37011.8
"1027",-12.2538
"1028",-12.2538
"1029",-12.2538
"1030",-12.2538
"1031",-12.2538
"1032",-12.2538
"1033",-12.2538
"1034",-12.2538
"1035",-12.2538
"1036",-12.2538
"1037",-12.2538
"1038",-12.2538
"1039",-12.2538
"1040",12193
"1041",55809.1
"1042",69216.5
"1043",69552.7
"1044",53307
"1045",39150.2
"1046",14239.5
"1047",5509.52
"1048",54939.7
"1049",35664.8
"1050",10158.7
"1051",-12.2538
"1052",-12.2538
"1053",-12.2538
"1054",-12.2538
"1055",-12.2538
"1056",-12.2538
"1057",-12.2538
"1058",-12.2538
"1059",-12.2538
"1060",-12.2538
"1061",-12.2538
"1062",-12.2538
"1063",-12.2538
"1064",736.688
"1065",2156.54
"1066",23919.8
"1067",35042.5
"1068",20675.1
"1069",42717.3
"1070",1996.33
"1071",54477.1
"1072",68592
"1073",2562.67
"1074",-12.2538
"1075",-12.2538
"1076",-12.2538
"1077",-12.2538
"1078",-12.2538
"1079",-12.2538
"1080",-12.2538
"1081",-12.2538
"1082",-12.2538
"1083",-12.2538
"1084",-12.2538
"1085",-12.2538
"1086",-12.2538
"1087",-12.2538
"1088",13916.4
"1089",57030.3
"1090",69626.4
"1091",69922
"1092",65704.4
"1093",62968.5
"1094",63488
"1095",66646.7
"1096",68178
"1097",61977.6
"1098",39606.3
"1099",-12.2538
"1100",-12.2538
"1101",-12.2538
"1102",-12.2538
"1103",-12.2538
"1104",-12.2538
"1105",-12.2538
"1106",-12.2538
"1107",-12.2538
"1108",-12.2538
"1109",-12.2538
"1110",-12.2538
"1111",-12.2538
"1112",653.721
"1113",19760.7
"1114",38394
"1115",42773.3
"1116",47536.5
"1117",48864.5
"1118",56002.1
"1119",67979.2
"1120",70390
"1121",63432.9
"1122",41530.2
"1123",-12.2538
"1124",-12.2538
"1125",-12.2538
"1126",-12.2538
"1127",-12.2538
"1128",-12.2538
"1129",-12.2538
"1130",-12.2538
"1131",-12.2538
"1132",-12.2538
