hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, -3.07955E-013, 5.31376E-013, -1.45958E-012, -1.75633E-012, 0, 0
2, 0.00000, 3.70862E-014, 3.67023E-013, -4.29247E-013, -1.49155E-012, 1.27236E-013, -3.50746E-013
3, 0.00000, -6.78673E-013, 1.02585E-013, -2.54988E-014, -4.20462E-013, -1.28596E-013, 3.50852E-013
4, 0.00000, 8.99458E-013, 8.52456E-013, -8.91944E-013, -7.92235E-013, 4.36823E-013, -6.36681E-013
5, 0.00000, 2.06012E-013, 3.92116E-014, 6.53893E-013, -3.76667E-013, 0, 0
6, 0.00000, 1.68394E-013, 5.40268E-013, -1.00438E-012, 1.4498E-013, -4.3364E-013, 6.37231E-013
7, 0.00000, -3.48413E-013, 7.31359E-013, -3.48738E-013, -2.84086E-012, 2.49474E-013, -7.01074E-013
8, 0.00000, 0.402371, 8.16181E-006, 0.402369, -8.90791E-006, 0.402388, 5.83692E-007
9, 0.00000, 1.47714, -2.17136E-005, 1.48103, 3.86669E-005, 1.48097, -1.75465E-005
10, 0.00000, 2.79047, 8.20999E-005, 2.84078, -0.000130334, 2.84097, 4.63829E-005
11, 0.00000, 3.85884, -8.946E-005, 4.00678, 0.00024022, 4.00653, -0.000153841
12, 0.00000, 4.78007, 5.59935E-005, 5.04319, -0.000215731, 5.04336, 0.000166769
13, 0.00000, 5.31726, 0.000243825, 5.59872, -0.000178396, 5.59911, -1.39848E-005
14, 0.00000, 5.46, -0.000861321, 5.73832, 2.10658E-005, 5.73822, -0.000438567
15, 0.00000, 5.10938, -0.000336642, 5.39047, 0.000253078, 5.39002, -2.72028E-005
16, 0.00000, 4.30357, 0.000131984, 4.55853, -0.000206207, 4.55885, 6.92036E-005
17, 0.00000, 3.12888, 6.58032E-005, 3.31977, -0.000149597, 3.31994, 8.21888E-005
18, 0.00000, 1.67273, 3.18928E-005, 1.75193, -6.05985E-005, 1.75202, 2.85632E-005
19, 0.00000, 5.32884E-013, -2.80245E-013, -1.00471E-013, -1.23745E-012, -1.74021E-013, -5.19335E-014
20, 0.00000, 5.18934E-013, 5.83173E-013, 2.51441E-013, -1.01769E-012, 0, 0
21, 0.00000, 3.26959E-013, 2.28843E-013, -7.32768E-013, -8.59644E-013, -6.61698E-014, -4.02762E-013
22, 0.00000, -5.07408E-013, 4.91202E-013, -1.9119E-013, -3.18409E-013, -6.31194E-013, 1.86425E-013
23, 0.00000, 8.41557E-014, 4.51504E-013, -7.62835E-013, -1.2794E-012, -2.23364E-013, 6.983E-013
24, 0.00000, 3.22515E-013, 5.47968E-013, -4.82964E-013, 2.84988E-013, -1.17072E-013, 3.49789E-013
