hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 498.251, 457.375, 800.207, 634.434, 387.994, 785.683
2, 0.00000, 483.208, 439.201, 768.668, 589.982, 390.509, 742.329
3, 0.00000, 478.036, 432.969, 757.584, 575.103, 390.935, 727.424
4, 0.00000, 470.012, 423.286, 740.235, 552.479, 391.137, 704.391
5, 0.00000, 469.037, 422.109, 738.116, 549.769, 391.125, 701.603
6, 0.00000, 476.105, 430.645, 753.426, 569.612, 391.035, 721.876
7, 0.00000, 492.491, 450.35, 788.334, 617.242, 389.156, 769.147
8, 0.00000, 518.021, 482.9, 838.083, 694.634, 382.516, 841.095
9, 0.00000, 539.324, 510.648, 876.801, 762.924, 372.992, 900.835
10, 0.00000, 550.495, 525.336, 896.111, 800.107, 366.499, 932.067
11, 0.00000, 563.597, 542.714, 917.787, 844.872, 357.579, 968.526
12, 0.00000, 573.648, 556.161, 933.669, 880.063, 349.771, 996.331
13, 0.00000, 572.857, 555.099, 932.427, 877.223, 350.443, 994.12
14, 0.00000, 571.851, 553.751, 930.866, 873.677, 351.255, 991.348
15, 0.00000, 573.806, 556.365, 933.9, 880.635, 349.617, 996.762
16, 0.00000, 575.632, 558.821, 936.706, 887.102, 348.109, 1001.79
17, 0.00000, 575.838, 559.11, 937.026, 887.781, 347.99, 1002.35
18, 0.00000, 567.357, 547.733, 923.797, 857.935, 354.764, 978.935
19, 0.00000, 562.752, 541.579, 916.423, 841.955, 358.187, 966.178
20, 0.00000, 557.814, 535.017, 908.354, 824.966, 361.683, 952.46
21, 0.00000, 549.589, 524.137, 894.571, 797.058, 367.06, 929.536
22, 0.00000, 549.588, 524.142, 894.571, 797.053, 367.066, 929.538
23, 0.00000, 538.364, 509.388, 875.106, 759.771, 373.501, 898.143
24, 0.00000, 520.227, 485.751, 842.188, 701.53, 381.704, 847.265
