hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 0, 0, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0, 0, 0
8, 0.00000, 0, 0, 0, 0, 0, 0
9, 0.00000, 0, 0, 0, 0, 0, 0
10, 0.00000, 0, 0, 0, 0, 0, 0
11, 0.00000, 0, 0, 0, 0, 0, 0
12, 0.00000, 0, 0, 0, 0, 0, 0
13, 0.00000, 0, 0, 0, 0, 0, 0
14, 0.00000, 0, 0, 0, 0, 0, 0
15, 0.00000, 0, 0, 0, 0, 0, 0
16, 0.00000, 0, 0, 0, 0, 0, 0
17, 0.00000, 0, 0, 0, 0, 0, 0
18, 0.00000, 0, 0, 0, 0, 0, 0
19, 0.00000, 0, 0, 0, 0, 0, 0
20, 0.00000, 557.336, 534.495, 907.515, 823.56, 361.877, 951.244
21, 0.00000, 549.112, 523.617, 893.714, 795.682, 367.223, 928.32
22, 0.00000, 549.113, 523.617, 893.713, 795.682, 367.223, 928.319
23, 0.00000, 537.887, 508.869, 874.224, 758.433, 373.622, 896.925
24, 0.00000, 519.755, 485.237, 841.274, 700.258, 381.761, 846.05
