"Time stamp","Subarray 1 Cell temperature (steady state) | (C)"
"431",26.3
"432",26.1
"433",26
"434",25.8
"435",25.6
"436",25.5
"437",25.3
"438",25.2
"439",25.2
"440",25.1
"441",25.6
"442",35.4557
"443",39.7749
"444",41.7564
"445",42.2021
"446",42.8649
"447",42.8078
"448",42.2797
"449",44.2114
"450",41.2621
"451",44.074
"452",40.8999
"453",32.4207
"454",26.8
"455",26.4
"456",26.2
"457",26.1
"458",25.9
"459",25.9
"460",25.8
"461",25.6
"462",25.5
"463",25.4
"464",25.2
"465",25.5
"466",30.3103
"467",39.5135
"468",41.2766
"469",41.2763
"470",41.7704
"471",45.9946
"472",43.8137
"473",40.5686
"474",39.1861
"475",33.9268
"476",29.4564
"477",29.3897
"478",26.3
"479",26.2
"480",26.1
"481",26
"482",25.9
"483",25.8
"484",25.6
"485",25.6
"486",25.5
"487",25.5
"488",25.5
"489",25.7
"490",30.441
"491",35.3295
"492",35.831
"493",41.829
"494",39.3335
"495",43.8754
"496",44.287
"497",43.8497
"498",43.7364
"499",34.6437
"500",32.7391
"501",30.0522
"502",26.7
"503",26.5
"504",26.4
"505",26.3
"506",26.2
"507",25.9
"508",25.6
"509",25.5
"510",25.4
"511",25.3
"512",25.2
"513",25.6
"514",34.2089
"515",39.4424
"516",44.2109
"517",45.1079
"518",44.6128
"519",44.313
"520",43.614
"521",41.8626
"522",35.3592
"523",33.4081
"524",30.172
"525",28.4392
"526",26.7
"527",26.5
"528",26.3
"529",26.2
"530",26
"531",25.9
"532",25.7
"533",25.6
"534",25.6
"535",25.6
"536",25.5
"537",25.7
"538",29.9676
"539",32.3784
"540",39.3891
"541",43.1769
"542",41.8372
"543",42.3436
"544",40.4898
"545",39.1034
"546",37.3922
"547",35.176
"548",30.8752
"549",29.8158
"550",26.2
"551",26.1
"552",26
"553",26
"554",26
"555",25.9
"556",25.8
"557",25.6
"558",25.4
"559",25.2
"560",25.1
"561",25.5
"562",30.6219
"563",32.4541
"564",39.1615
"565",43.2691
"566",45.6209
"567",46.0532
"568",41.6228
"569",39.9004
"570",34.1001
"571",33.2239
"572",30.9384
"573",33.5897
"574",26.3
"575",26.1
"576",26
"577",26
"578",26
"579",25.8
"580",25.7
"581",25.5
"582",25.4
"583",25.3
"584",25.3
"585",25.5
"586",33.5233
"587",35.6962
"588",43.7651
"589",42.5435
"590",42.837
"591",43.7343
"592",43.3297
"593",42.0707
"594",41.1409
"595",41.3983
"596",35.2863
"597",28.5692
"598",26.7
"599",26.4
"600",26.3
"601",26.2
"602",26.1
"603",26.1
"604",25.9
"605",25.7
"606",25.5
"607",25.3
"608",25.1
"609",25.4
"610",31.9813
"611",38.5779
"612",33.0943
"613",40.7536
"614",43.6369
"615",43.4283
"616",43.1321
"617",42.5438
"618",40.9409
"619",37.1802
"620",31.7084
"621",29.4396
"622",26.1
"623",25.7
"624",25.5
"625",25.3
"626",25.1
"627",25
"628",24.8
"629",24.7
"630",24.6
"631",24.4
"632",24.4
"633",25
"634",28.9771
"635",31.1662
"636",33.7418
"637",34.294
"638",38.3441
"639",43.6407
"640",38.2473
"641",34.8337
"642",37.545
"643",34.1978
"644",35.521
"645",29.3286
"646",26.1
"647",25.9
"648",25.7
"649",25.6
"650",25.5
"651",25.3
"652",25.3
"653",25.2
"654",25.2
"655",25
"656",25
"657",25.5
"658",34.2526
"659",35.4164
"660",44.9376
"661",44.5481
"662",45.0037
"663",47.0388
"664",47.906
"665",47.5794
"666",46.4168
"667",44.6734
"668",36.1092
"669",34.1194
"670",26.7
"671",26.5
"672",26.4
"673",26.3
"674",26.2
"675",26.1
"676",26
"677",25.9
"678",25.8
"679",25.7
"680",25.6
"681",26
"682",29.0304
"683",38.7683
"684",33.4296
"685",42.7778
"686",41.635
"687",40.2337
"688",40.1543
"689",38.2807
"690",37.7371
"691",36.8546
"692",34.4327
"693",31.6141
"694",26.8
"695",26.6
"696",26.4
"697",26.2
"698",26.1
"699",26
"700",25.9
"701",25.8
"702",25.7
"703",25.6
"704",25.6
"705",25.7
"706",32.1105
"707",38.3039
"708",38.5418
"709",42.6226
"710",46.5909
"711",47.1104
"712",46.5807
"713",47.0394
"714",45.7408
"715",42.0801
"716",38.8326
"717",32.9998
"718",27.1
"719",26.7
"720",26.5
"721",26.3
"722",26
"723",25.8
"724",25.7
"725",25.6
"726",25.6
"727",25.6
"728",25.5
"729",25.8
"730",31.4312
"731",40.9256
"732",37.6334
"733",42.2893
"734",41.358
