hour,P1_0 kW,P1_1 kW,P1_2 kW,P1_3 kW,P1_4 kW,P1_5 kW,P1_6 kW,P1_7 kW,P1_8 kW,P1_9 kW,P1_10 kW
1,486.444,488.187,486.969,489.114,483.467,485.418,486.894,488.08,487.646,479.715,490.128
2,478.603,480.338,479.128,481.259,475.642,477.586,479.052,480.229,479.801,471.909,482.269
3,471.73,473.458,472.255,474.372,468.782,470.72,472.178,473.347,472.925,465.065,475.381
4,468.206,469.931,468.731,470.842,465.265,467.2,468.654,469.819,469.4,461.557,471.849
5,472.364,474.093,472.889,475.008,469.415,471.354,472.812,473.983,473.56,465.697,476.016
6,484.361,486.102,484.886,487.027,481.389,483.338,484.811,485.995,485.562,477.642,488.04
7,505.478,505.787,503.174,503.695,496.522,497.187,497.095,496.603,494.901,485.02,494.348
8,527.867,524.791,518.676,515.632,504.586,501.688,497.727,493.145,487.668,472.851,478.839
9,543.634,536.695,526.489,519.118,503.342,495.916,486.859,476.67,466.032,444.578,445.859
10,555.394,545.456,531.993,521.098,501.37,490.046,476.453,461.095,445.666,418.476,414.765
11,566.687,554.402,538.371,524.579,501.572,486.964,469.414,449.435,429.869,397.23,388.705
12,572.164,558.701,541.342,526.086,501.343,484.942,465.245,442.679,420.869,385.222,373.897
13,571.317,557.443,539.571,523.694,498.295,481.199,460.649,437.162,414.681,377.915,365.489
14,571.329,558.447,541.664,527.078,503.118,487.504,468.796,447.394,426.426,392.102,382.047
15,573.115,562.677,548.637,537.15,516.629,504.541,490.108,473.761,457.312,427.789,422.445
16,574.506,567.58,557.251,549.955,533.953,526.418,517.347,507.127,496.291,474.321,475.084
17,572.949,570.155,564.156,561.569,550.586,547.912,544.353,540.212,534.891,520.262,526.81
18,565.386,567.225,565.954,568.213,562.284,564.318,565.881,567.131,566.656,558.356,569.271
19,560.801,562.624,561.352,563.59,557.689,559.73,561.273,562.508,562.057,553.771,564.653
20,555.613,557.432,556.173,558.386,552.512,554.546,556.089,557.305,556.876,548.591,559.456
21,548.459,550.272,549.033,551.223,545.374,547.432,548.941,550.145,549.73,541.485,552.29
22,547.775,549.588,548.349,550.524,544.69,546.75,548.257,549.447,549.046,540.804,551.605
23,536.754,538.557,537.343,539.471,533.69,535.759,537.242,538.398,538.032,529.828,540.564
24,519.103,520.89,519.71,521.774,516.071,518.149,519.597,520.709,520.386,512.25,522.88
