hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
2, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
3, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
4, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
5, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
6, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
7, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
8, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
9, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
10, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
11, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
12, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
13, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
14, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
15, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
16, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
17, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
18, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
19, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
20, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
21, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
22, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
23, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
24, 0.00000, -4768.73, -18544.4, 4.94006E-012, 1.79563E-012, 2875.79, 21686.5
