hour,P1_0 kW,P1_1 kW,P1_2 kW,P1_3 kW,P1_4 kW,P1_5 kW,P1_6 kW,P1_7 kW,P1_8 kW,P1_9 kW,P1_10 kW
1,498.027,494.485,498.758,494.388,495.792,500.232,493.648,497.176,498.933,493.739,496.976
2,494.49,491.085,495.327,490.87,492.36,496.822,490.251,493.77,495.387,490.202,493.514
3,490.737,487.341,491.574,487.127,488.613,493.065,486.508,490.019,491.57,486.46,489.764
4,487.215,483.823,488.049,483.613,485.095,489.536,482.993,486.496,488.046,482.947,486.243
5,483.332,479.945,484.161,479.738,481.215,485.645,479.117,482.611,484.161,479.074,482.361
6,481.818,478.434,482.647,478.228,479.703,484.128,477.607,481.097,482.647,477.565,480.848
7,480.6,477.217,481.427,477.012,478.486,482.908,476.391,479.878,481.428,476.35,479.63
8,479.374,475.993,480.2,475.789,477.262,481.68,475.168,478.652,480.202,475.127,478.405
9,478.141,474.762,478.966,474.559,476.03,480.444,473.937,477.418,478.969,473.898,477.172
10,476.278,472.901,477.102,472.7,474.169,478.577,472.078,475.554,477.105,472.04,475.31
11,474.398,471.024,475.22,470.824,472.29,476.694,470.201,473.674,475.224,470.165,473.431
12,472.501,469.129,473.321,468.931,470.395,474.793,468.308,471.775,473.327,468.273,471.534
13,470.586,467.217,471.404,467.021,468.482,472.874,466.397,469.86,471.411,466.363,469.62
14,469.622,466.254,470.44,466.059,467.52,471.909,465.435,468.896,470.447,465.402,468.657
15,469.299,465.932,470.117,465.737,467.197,471.585,465.113,468.573,470.125,465.081,468.334
16,468.977,465.61,469.794,465.415,466.875,471.262,464.791,468.25,469.802,464.759,468.011
17,468.976,465.609,469.794,465.415,466.875,471.262,464.791,468.25,469.802,464.758,468.011
18,469.621,466.253,470.439,466.058,467.519,471.908,465.434,468.895,470.447,465.401,468.656
19,471.225,467.855,472.044,467.658,469.121,473.516,467.035,470.499,472.051,467.001,470.259
20,473.135,469.762,473.956,469.564,471.029,475.428,468.941,472.41,473.961,468.905,472.168
21,474.712,471.338,475.534,471.138,472.604,477.009,470.515,473.988,475.539,470.478,473.745
22,477.211,473.833,478.036,473.631,475.101,479.513,473.009,476.488,478.039,472.971,476.243
23,481.21,477.826,482.038,477.621,479.096,483.519,477.0,480.488,482.038,476.958,480.24
24,485.133,481.744,485.965,481.535,483.015,487.45,480.915,484.413,485.963,480.871,484.162
25,489.278,485.364,489.091,484.129,485.095,489.046,481.924,484.927,486.039,480.356,483.15
26,493.63,489.209,492.459,486.978,487.444,490.921,483.222,485.738,486.419,480.148,482.447
27,500.072,495.201,498.298,492.647,492.772,496.052,488.077,490.386,490.927,484.324,486.41
28,506.363,501.227,504.183,498.295,498.209,501.219,492.863,494.927,495.519,488.599,490.338
29,512.467,512.104,519.641,518.403,522.996,530.456,527.148,533.616,537.9,535.995,542.131
